A,W,MT,ID
307,109,901,2
307,109,762,2
307,109,777,2
307,109,739,2
307,109,738,2
665,250,775,2
665,250,789,2
665,250,787,2
665,250,840,2
665,250,875,2
486,250,813,2
486,250,814,2
486,250,874,2
486,250,740,2
486,250,813,2
307,156,950,2
307,156,814,2
307,156,851,2
307,156,838,2
307,156,889,2
1024,62,1090,4
1024,62,1302,4
1024,62,1025,4
1024,62,1191,4
1024,62,2876,4
665,109,964,3
665,109,1152,3
665,109,952,3
665,109,989,3
665,109,900,3
307,62,1064,3
307,62,1026,3
307,62,1016,3
307,62,950,3
307,62,964,3
307,15,1614,4
307,15,1151,4
307,15,1328,4
307,15,1013,4
307,15,1175,4
665,15,1791,6
665,15,1525,6
665,15,1050,6
665,15,1491,6
665,15,1415,6
665,156,1113,2
665,156,1101,2
665,156,976,2
665,156,1039,2
665,156,852,2
128,62,901,2
128,62,838,2
128,62,802,2
128,62,763,2
128,62,839,2
486,109,939,2
486,109,876,2
486,109,924,2
486,109,966,2
486,109,949,2
486,15,1425,5
486,15,1426,5
486,15,1328,5
486,15,1276,5
486,15,1213,5
1024,15,1276,6
1024,15,1840,6
1024,15,3066,6
1024,15,1539,6
1024,15,1639,6
1024,109,1051,3
1024,109,1227,3
1024,109,963,3
1024,109,976,3
1024,109,900,3
486,156,964,2
486,156,800,2
486,156,913,2
486,156,776,2
486,156,901,2
128,109,700,1
128,109,677,1
128,109,712,1
128,109,688,1
128,109,738,1
1024,250,888,2
1024,250,1015,2
1024,250,901,2
1024,250,887,2
1024,250,1040,2
1024,156,1052,3
1024,156,1151,3
1024,156,975,3
1024,156,1015,3
1024,156,988,3
128,15,1064,3
128,15,1052,3
128,15,1112,3
128,15,915,3
128,15,1075,3
486,62,1026,3
486,62,889,3
486,62,951,3
486,62,1077,3
486,62,1013,3
665,62,1301,4
665,62,915,4
665,62,1014,4
665,62,938,4
665,62,1063,4
307,250,637,1
307,250,640,1
307,250,627,1
307,250,650,1
307,250,675,1
