A,W,MT,ID
128, 64, 805, 2
256, 64, 929, 2
512, 64, 909, 3
256, 32, 1024, 3
256, 16, 1243, 4
128, 16, 968, 3
512, 16, 1159, 5
128, 32, 963, 2
512, 32, 1124, 4
