A,W,MT,ID
665,250,517,2
665,250,493,2
665,250,582,2
665,250,521,2
665,250,500,2
307,109,810,2
307,109,549,2
307,109,603,2
307,109,667,2
307,109,639,2
128,62,736,2
128,62,776,2
128,62,612,2
128,62,603,2
128,62,556,2
1024,15,1152,6
1024,15,1173,6
1024,15,1520,6
1024,15,1784,6
1024,15,1201,6
128,15,1117,3
128,15,861,3
128,15,979,3
128,15,846,3
128,15,973,3
128,109,347,1
128,109,402,1
128,109,388,1
128,109,348,1
128,109,375,1
665,109,763,3
665,109,715,3
665,109,820,3
665,109,631,3
665,109,647,3
307,62,701,3
307,62,751,3
307,62,663,3
307,62,644,3
307,62,736,3
307,156,423,2
307,156,444,2
307,156,431,2
307,156,417,2
307,156,541,2
1024,109,1341,3
1024,109,1151,3
1024,109,1076,3
1024,109,1049,3
1024,109,826,3
1024,156,584,3
1024,156,589,3
1024,156,743,3
1024,156,646,3
1024,156,708,3
665,15,1277,6
665,15,1050,6
665,15,1555,6
665,15,1423,6
665,15,1181,6
665,156,748,2
665,156,577,2
665,156,743,2
665,156,597,2
665,156,639,2
665,62,589,4
665,62,1262,4
665,62,757,4
665,62,708,4
665,62,882,4
486,15,973,5
486,15,1353,5
486,15,1306,5
486,15,979,5
486,15,1130,5
486,62,521,3
486,62,771,3
486,62,750,3
486,62,645,3
486,62,784,3
486,250,472,2
486,250,437,2
486,250,444,2
486,250,465,2
486,250,445,2
1024,62,1118,4
1024,62,1074,4
1024,62,1230,4
1024,62,930,4
1024,62,888,4
486,109,480,2
486,109,715,2
486,109,507,2
486,109,838,2
486,109,640,2
1024,250,534,2
1024,250,800,2
1024,250,570,2
1024,250,645,2
1024,250,764,2
486,156,666,2
486,156,550,2
486,156,520,2
486,156,555,2
486,156,607,2
307,15,0,4
307,15,625,4
307,15,2393,4
307,15,1019,4
307,15,943,4
307,250,1581,1
307,250,479,1
307,250,429,1
307,250,361,1
307,250,471,1
