A,W,MT,ID
486,250,447,2
486,250,511,2
486,250,456,2
486,250,505,2
486,250,445,2
665,15,1118,6
665,15,932,6
665,15,1156,6
665,15,832,6
665,15,1081,6
486,15,922,5
486,15,1000,5
486,15,1247,5
486,15,1124,5
486,15,848,5
1024,62,922,4
1024,62,848,4
1024,62,887,4
1024,62,984,4
1024,62,915,4
1024,156,803,3
1024,156,708,3
1024,156,749,3
1024,156,699,3
1024,156,697,3
1024,250,703,2
1024,250,598,2
1024,250,635,2
1024,250,569,2
1024,250,702,2
486,62,654,3
486,62,707,3
486,62,772,3
486,62,662,3
486,62,638,3
128,15,915,3
128,15,570,3
128,15,558,3
128,15,603,3
128,15,727,3
307,156,435,2
307,156,351,2
307,156,408,2
307,156,398,2
307,156,404,2
307,250,376,1
307,250,389,1
307,250,368,1
307,250,414,1
307,250,451,1
307,62,624,3
307,62,591,3
307,62,595,3
307,62,585,3
307,62,623,3
665,156,455,2
665,156,480,2
665,156,518,2
665,156,517,2
665,156,550,2
307,15,842,4
307,15,667,4
307,15,1021,4
307,15,625,4
307,15,922,4
1024,109,771,3
1024,109,827,3
1024,109,667,3
1024,109,818,3
1024,109,669,3
486,156,496,2
486,156,578,2
486,156,487,2
486,156,565,2
486,156,503,2
665,62,762,4
665,62,750,4
665,62,714,4
665,62,668,4
665,62,704,4
307,109,465,2
307,109,495,2
307,109,474,2
307,109,495,2
307,109,487,2
665,109,587,3
665,109,519,3
665,109,653,3
665,109,600,3
665,109,667,3
665,250,542,2
665,250,435,2
665,250,517,2
665,250,482,2
665,250,524,2
128,109,558,1
128,109,367,1
128,109,344,1
128,109,345,1
128,109,269,1
128,62,391,2
128,62,473,2
128,62,458,2
128,62,466,2
128,62,435,2
1024,15,1410,6
1024,15,1133,6
1024,15,1164,6
1024,15,1208,6
1024,15,1255,6
486,109,523,2
486,109,420,2
486,109,489,2
486,109,444,2
486,109,583,2
