A,W,MT,ID
307,15,1615,4
307,15,1763,4
307,15,1127,4
307,15,1252,4
307,15,1337,4
1024,15,2202,6
1024,15,2164,6
1024,15,2140,6
1024,15,2177,6
1024,15,1837,6
1024,62,1050,4
1024,62,1241,4
1024,62,1073,4
1024,62,1077,4
1024,62,1087,4
307,156,789,2
307,156,788,2
307,156,763,2
307,156,775,2
307,156,750,2
1024,250,964,2
1024,250,924,2
1024,250,900,2
1024,250,925,2
1024,250,887,2
665,62,1125,4
665,62,939,4
665,62,1087,4
665,62,1176,4
665,62,1051,4
665,156,975,2
665,156,899,2
665,156,839,2
665,156,1174,2
665,156,914,2
486,109,938,2
486,109,900,2
486,109,976,2
486,109,1188,2
486,109,874,2
128,109,688,1
128,109,649,1
128,109,652,1
128,109,662,1
128,109,713,1
307,62,850,3
307,62,989,3
307,62,951,3
307,62,988,3
307,62,976,3
665,109,888,3
665,109,938,3
665,109,1025,3
665,109,964,3
665,109,974,3
307,250,613,1
307,250,663,1
307,250,649,1
307,250,689,1
307,250,651,1
665,15,1126,6
665,15,1462,6
665,15,1350,6
665,15,1301,6
665,15,1250,6
665,250,740,2
665,250,711,2
665,250,713,2
665,250,751,2
665,250,750,2
1024,109,1002,3
1024,109,1011,3
1024,109,1113,3
1024,109,1000,3
1024,109,1051,3
1024,156,963,3
1024,156,936,3
1024,156,989,3
1024,156,937,3
1024,156,877,3
307,109,1175,2
307,109,763,2
307,109,1038,2
307,109,825,2
307,109,838,2
486,62,863,3
486,62,1064,3
486,62,1001,3
486,62,924,3
486,62,1127,3
486,15,1165,5
486,15,1924,5
486,15,1216,5
486,15,1362,5
486,15,1575,5
128,62,711,2
128,62,763,2
128,62,764,2
128,62,799,2
128,62,788,2
486,250,665,2
486,250,699,2
486,250,701,2
486,250,688,2
486,250,724,2
486,156,790,2
486,156,749,2
486,156,863,2
486,156,801,2
486,156,964,2
128,15,1013,3
128,15,1076,3
128,15,1124,3
128,15,1291,3
128,15,2539,3
